State,x,y
Andhra Pradesh,-88,-138
Arunachal Pradesh,224,164
Assam,177,116
Bihar,49,90
Chhattisgarh,-23,-14
Goa,-178,-133
Gujarat,-250,50
Haryana,-129,172
Himachal Pradesh,-110,229
Jharkhand,39,49
Karnataka,-160,-139
Kerala,-127,-261
Madhya Pradesh,-137,32
Maharastra,-177,-37
Manipur,219,82
Meghalaya,151,90
Mizoram,205,40
Nagaland,234,114
Odisha,16,-22
Punjab,-158,194
Rajasthan,-225,110
Sikkim,111,136
Tamil Nadu,-95,-226
Telangana,-95,-78
Tirpura,182,53
Uttar Pradesh,-57,128
Uttar Khand,-78,193
West Bengal,90,36
